iter	Passed	Remaining
0	143	143719
1	144	72142
2	145	48277
3	145	36312
4	146	29133
5	146	24346
6	147	20928
7	148	18362
8	148	16367
9	149	14788
10	149	13481
11	150	12402
12	151	11497
13	152	10709
14	152	10022
15	153	9422
16	153	8891
17	154	8417
18	154	7994
19	155	7613
20	156	7273
21	156	6969
22	157	6687
23	158	6428
24	158	6198
25	159	5977
26	160	5770
27	160	5576
28	161	5396
29	161	5227
30	162	5070
31	162	4921
32	163	4783
33	163	4653
34	164	4531
35	164	4416
36	165	4310
37	166	4210
38	167	4115
39	167	4023
40	168	3936
41	168	3852
42	169	3771
43	170	3695
44	170	3624
45	171	3557
46	172	3490
47	172	3425
48	173	3364
49	173	3305
50	174	3247
51	175	3191
52	175	3137
53	176	3085
54	176	3036
55	177	2988
56	177	2943
57	178	2898
58	179	2855
59	179	2814
60	180	2773
61	180	2736
62	181	2698
63	182	2664
64	182	2630
65	183	2597
66	184	2565
67	184	2534
68	185	2504
69	186	2477
70	187	2449
71	187	2421
72	188	2394
73	189	2367
74	189	2341
75	190	2316
76	191	2292
77	191	2268
78	192	2244
79	193	2221
80	193	2198
81	194	2177
82	194	2152
83	195	2133
84	196	2113
85	197	2094
86	197	2075
87	198	2057
88	199	2039
89	200	2023
90	200	2007
91	201	1990
92	202	1973
93	203	1957
94	203	1941
95	204	1925
96	205	1909
97	205	1894
98	206	1878
99	207	1864
100	207	1849
101	208	1836
102	209	1823
103	210	1813
104	211	1804
105	212	1791
106	213	1781
107	214	1769
108	215	1757
109	215	1745
110	216	1733
111	217	1721
112	217	1709
113	218	1697
114	219	1687
115	220	1677
116	220	1666
117	221	1655
118	222	1644
119	222	1633
120	223	1623
121	224	1612
122	224	1602
123	225	1593
124	226	1584
125	227	1578
126	228	1569
127	229	1561
128	229	1552
129	230	1543
130	231	1534
131	232	1526
132	232	1517
133	233	1509
134	234	1501
135	235	1492
136	235	1484
137	236	1476
138	237	1468
139	237	1460
140	238	1452
141	238	1443
142	239	1435
143	240	1427
144	241	1421
145	241	1415
146	242	1409
147	243	1402
148	244	1396
149	245	1390
150	246	1385
151	247	1379
152	247	1372
153	248	1365
154	249	1358
155	250	1352
156	250	1346
157	251	1339
158	252	1333
159	252	1327
160	253	1320
161	254	1314
162	254	1308
163	255	1302
164	256	1297
165	257	1292
166	258	1287
167	258	1281
168	259	1276
169	260	1271
170	261	1266
171	261	1261
172	262	1255
173	263	1250
174	264	1245
175	264	1240
176	265	1235
177	266	1230
178	267	1225
179	267	1219
180	268	1214
181	269	1209
182	269	1204
183	270	1198
184	271	1194
185	272	1190
186	273	1187
187	273	1183
188	275	1180
189	276	1177
190	276	1172
191	277	1167
192	278	1163
193	278	1158
194	279	1154
195	280	1150
196	281	1146
197	281	1141
198	282	1138
199	283	1133
200	284	1129
201	284	1124
202	285	1120
203	286	1116
204	287	1113
205	287	1109
206	288	1106
207	289	1102
208	290	1098
209	291	1094
210	291	1091
211	292	1087
212	293	1083
213	293	1078
214	294	1075
215	295	1071
216	295	1067
217	296	1064
218	297	1060
219	298	1057
220	298	1053
221	299	1050
222	300	1046
223	300	1042
224	301	1039
225	302	1036
226	303	1033
227	304	1029
228	304	1025
229	305	1022
230	306	1019
231	306	1016
232	307	1012
233	308	1009
234	309	1007
235	310	1004
236	310	1001
237	311	997
238	312	994
239	312	990
240	313	987
241	314	983
242	314	980
243	315	977
244	316	974
245	317	972
246	318	969
247	318	967
248	319	963
249	320	960
250	320	957
251	321	954
252	322	951
253	323	948
254	323	946
255	324	943
256	325	940
257	325	937
258	326	934
259	327	931
260	328	928
261	328	926
262	329	923
263	330	921
264	331	918
